,Unnamed: 0,Name,Location,city_coord,lat,long
0,0,Hamkad Hospital Limited,"Hamkad Hospital Limited. 39, Olawale Cole Street, Abule Egba. Lagos.","(6.659182741211, 3.280092588548)",6.659182741211,3.280092588548
1,1,P & G Medical Centre,"P & G Medical Centre. 29, Sanni Labode Street, Oko Oba, Abule Egba. Lagos","(6.64144, 3.29323)",6.64144,3.29323
2,2,All Souls Infirmary Hospital & Maternity Centre,"All Souls Infirmary Hospital & Maternity Centre. 8, Church Street. Elere, Agege. Lagos","(6.62807, 3.32078)",6.62807,3.32078
3,3,Faith City Hospital,"Faith City Hospital. 16, Asa Afariogun Street, Ajao Estate. Lagos","(6.555500010287, 3.339960008552)",6.555500010287,3.339960008552
4,4,Healing Field Hospital,"Healing Field Hospital. 7, Ajibade Oke Street, Ajao Estate. Lagos","(6.44856, 3.74724)",6.44856,3.74724
5,5,Kupa Medical Centre,"Kupa Medical Centre. 4, Lateef Salami Street, Off International Airport Road, Ajao Estate. Lagos","(6.552404141204, 3.328860801747)",6.552404141204,3.328860801747
6,6,All Souls Clinic & Hospital,"All Souls Clinic & Hospital. 255, Ojo Road, Ajegunle. Lagos","(6.460019151658, 3.32911357565)",6.460019151658,3.32911357565
7,7,Natafod Consultant Hospital,"Natafod Consultant Hospital. 104, Cemetery Road, Mosafejo Bus Stop, Amukoko. Lagos","(6.46652, 3.34299)",6.46652,3.34299
8,8,Prince & Princess Hospital,"Prince & Princess Hospital. 191, Ojo Road, Ajegunle. Lagos","(6.45987, 3.33004)",6.45987,3.33004
9,9,Jon – Ken Specialist Hospital,"Jon Ken Specialist Hospital20. Sobande Street, Akoka. Lagos","(6.52537, 3.39657)",6.52537,3.39657
10,10,Jefis specialist Hospital,"Jefis specialist Hospital. 9,adegbola str, alakuko. Lagos","(6.68435, 3.27432)",6.68435,3.27432
11,11,El – Bethel Hospital,"El Bethel Hospital. 323, Old Ojo Road, Oluti, Amuwo. Lagos","(6.458012770689, 3.281220029087)",6.458012770689,3.281220029087
12,12,Christ Medical Centre,"Christ Medical Centre. 28, Randle Road, Apapa. Lagos","(6.4433, 3.36873)",6.4433,3.36873
13,13,St. Louis Medical Centre,"St. Louis Medical Centre. 3, Ado Avenue, Apapa. Lagos","(6.44295, 3.37119)",6.44295,3.37119
14,14,Caregivers Hiospital,"Caregivers Hiospital. cocacola area, Badagry. Lagos","(6.4331, 2.9051)",6.4331,2.9051
15,15,General Hospital,General Hospital. Badagry. Lagos,"(6.41391, 2.89724)",6.41391,2.89724
16,16,Jaiyeola clinic,"Jaiyeola clinic. 4,Bankole street, Bariga. Lagos","(6.54295, 3.37581)",6.54295,3.37581
17,17,Mount Sinai Hospital,"Mount Sinai Hospital. 5, Maloney street, post office b/stop. Lagos","(6.45407, 3.39467)",6.45407,3.39467
18,18,Bee Hess Hospitals,"Bee Hess Hospitals. 155, Akowonjo Road, Akowonjo. Lagos","(6.60196, 3.30553)",6.60196,3.30553
19,19,Crystal Specialist Hospital,"Crystal Specialist Hospital. 148, Akowonjo Road, Akowonjo. Lagos","(6.60233, 3.30619)",6.60233,3.30619
20,20,Light Hospital & Maternity Home,"Light Hospital & Maternity Home. 15, Olumide Onanubi Street, Off Oni Street, Akowonjo. Lagos","(6.61012, 3.30968)",6.61012,3.30968
21,21,Prince & Princess Hospital,"Prince & Princess Hospital. Plot 75, Ist Avenue, 12 Road, Gowon Estate, Egbeda. Lagos","(6.60465, 3.28598)",6.60465,3.28598
22,22,Westcare Hospital,"Westcare Hospital. 20, Samuel street, Egbeda. Lagos","(6.598307377762, 3.299997905595)",6.598307377762,3.299997905595
23,23,True Care model Hospital,"True Care model Hospital. 19, Adeyemi Apena Street, Epe. Lagos","(6.58375, 3.97553)",6.58375,3.97553
24,24,Emel Hospital,"Emel Hospital. 21, Road, Z Close, FESTAC Town. Lagos","(6.47583, 3.28967)",6.47583,3.28967
25,25,Hovas Place Hospital,",Hovas Place Hospital. 5th Avenue, T Close, FESTAC Town. Lagos","(6.4697, 3.28299)",6.4697,3.28299
26,26,St. Jude Hospital,"St. Jude Hospital. 21 Road, B Close, FESTAC Town. Lagos","(6.4697, 3.28299)",6.4697,3.28299
27,27,Afrimed Specialist Hospital,"Afrimed Specialist Hospital. 2, Williams Street, Gbagada. Lagos","(6.55309, 3.39229)",6.55309,3.39229
28,28,Micel Clinic,"Micel Clinic. 5, Soluyi Street, Gbagada. Lagos","(6.5567, 3.3954)",6.5567,3.3954
29,29,R – Jolad Hospital,"R – Jolad Hospital. 1, Akindele Street, Gbadaga. Lagos","(6.451979985671, 3.211050025751)",6.451979985671,3.211050025751
30,30,Subol Hospital,"Subol Hospital. 17, Oba Amusa Avenue, Idimu. Lagos","(6.56623, 3.2746)",6.56623,3.2746
31,31,Ademola Hospital,"Ademola Hospital. 1, Omowale Street, Cele Bus Stop, Ijanikin. Lagos","(6.49666, 3.1208)",6.49666,3.1208
32,32,Ayodele Medical Centre,"Ayodele Medical Centre. 25, Jonathan Coker Road, Fagba Iju. Lagos","(6.65768, 3.3184)",6.65768,3.3184
33,33,Osuntuyi Medical Centre,"Osuntuyi Medical Centre. 225, Iju Waterworks Road, Iju Ishaga. Lagos","(6.52667, 3.32583)",6.52667,3.32583
34,34,Duro – Soleye Hospital,"Duro Soleye Hospital. 36, Allen Avenue, Ikeja. Lagos","(6.59977, 3.35315)",6.59977,3.35315
35,35,Finnih Medical Centre,"Finnih Medical Centre. 42, Oduduwa Crescent, GRA, Ikeja. Lagos","(6.573070492724, 3.353646078889)",6.573070492724,3.353646078889
36,36,Holy Trinity Hospital,"Holy Trinity Hospital. 110B, Obafemi Awolowo Way, Ikeja. Lagos","(6.608892930482, 3.351922152219)",6.608892930482,3.351922152219
37,37,Ikeja Medical Centre,"Ikeja Medical Centre. 11, Ogunmode Street, Off Allen Avenue, Ikeja. Lagos","(6.60149403117, 3.352100607972)",6.60149403117,3.352100607972
38,38,Lagoon Hospital,"Awolowo road, Ikeja. Lagos","(6.441968049778, 3.417407405789)",6.441968049778,3.417407405789
39,39,Motayo Hospital,"Motayo Hospital. 3, Owodunni Street, Off Toyin Street, Ikeja. Lagos","(6.59982, 3.35028)",6.59982,3.35028
40,40,Mother & Child Hospital,"Mother & Child Hospital. 39A, Adeniyi Jones Street, Ikeja. Lagos","(6.60882, 3.3429)",6.60882,3.3429
41,41,The Shepherd Medical Centre,"The Shepherd Medical Centre. 2, Salvation Road, Opebi. Lagos","(6.58956, 3.36158)",6.58956,3.36158
